Membership No  Date Joined  Active  
    37687      2020-4-22    yes   
    40538      2020-11-21   yes   
    58272      2015-5-23    yes   
    28301      2019-2-3     yes   
    71356      2018-4-18    yes   
    28324      2020-4-23    yes   
    31009      2017-11-7    yes   
    37533      2016-6-10    yes   
    44941      2015-9-21    yes   
    95308      2020-12-7    yes   
    46489      2018-11-10   yes   
    11427      2019-1-6     yes   
    19775      2020-10-9    yes   
